id,key,value,type
62942616,source,massgis_import_v0.1_20071009085127,regular
62942616,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62942810,source,massgis_import_v0.1_20071009085127,regular
62942864,source,massgis_import_v0.1_20071009085127,regular
62942908,source,massgis_import_v0.1_20071009085127,regular
62942971,source,massgis_import_v0.1_20071009085127,regular
62943180,source,massgis_import_v0.1_20071009085127,regular
62943266,source,massgis_import_v0.1_20071009085127,regular
62943266,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62943317,source,massgis_import_v0.1_20071009085127,regular
62943357,source,massgis_import_v0.1_20071009085127,regular
62943357,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62943366,source,massgis_import_v0.1_20071009085127,regular
62943531,source,massgis_import_v0.1_20071009085127,regular
62943578,source,massgis_import_v0.1_20071009085127,regular
62944039,source,massgis_import_v0.1_20071009085127,regular
62944039,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62944126,source,massgis_import_v0.1_20071009085127,regular
62944126,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62944166,source,massgis_import_v0.1_20071009085127,regular
62944166,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62944346,source,massgis_import_v0.1_20071009085127,regular
62944346,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62944397,source,massgis_import_v0.1_20071009085127,regular
62944397,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62944509,source,massgis_import_v0.1_20071009085127,regular
62944560,source,massgis_import_v0.1_20071009085127,regular
62944560,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62944723,source,massgis_import_v0.1_20071009085127,regular
62944723,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62944743,source,massgis_import_v0.1_20071009085127,regular
62944743,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945054,source,massgis_import_v0.1_20071009085127,regular
62945054,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945181,source,massgis_import_v0.1_20071009085127,regular
62945181,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945209,source,massgis_import_v0.1_20071009085127,regular
62945209,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945231,source,massgis_import_v0.1_20071009085127,regular
62945231,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945293,source,massgis_import_v0.1_20071009085127,regular
62945293,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945301,source,massgis_import_v0.1_20071009085127,regular
62945301,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945372,source,massgis_import_v0.1_20071009085127,regular
62945372,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945438,source,massgis_import_v0.1_20071009085127,regular
62945444,source,massgis_import_v0.1_20071009085127,regular
62945444,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62945607,source,massgis_import_v0.1_20071009085127,regular
