id,user,uid,version,changeset,timestamp
8882310,MassGIS Import,15750,1,101798,2007-10-11T17:57:08Z
8882312,MassGIS Import,15750,1,101798,2007-10-11T17:57:10Z
8882313,NE2,207745,6,13218737,2012-09-23T11:32:41Z
8882315,MassGIS Import,15750,1,101798,2007-10-11T17:57:11Z
8882317,MassGIS Import,15750,1,101798,2007-10-11T17:57:12Z
8882319,MassGIS Import,15750,1,101798,2007-10-11T17:57:12Z
8882321,MassGIS Import,15750,1,101798,2007-10-11T17:57:12Z
8882331,RacerChick,2119035,3,31904934,2015-06-11T19:20:09Z
8882334,NE2,207745,11,9896563,2011-11-21T13:43:42Z
8882336,MassGIS Import,15750,1,101798,2007-10-11T17:57:19Z
8882344,MassGIS Import,15750,1,101798,2007-10-11T17:57:21Z
8882358,MassGIS Import,15750,1,101798,2007-10-11T17:57:26Z
8882361,user_599436,599436,4,35174522,2015-11-08T18:06:31Z
8882362,MassGIS Import,15750,1,101798,2007-10-11T17:57:27Z
8882364,MassGIS Import,15750,1,101798,2007-10-11T17:57:27Z
8882368,NE2,207745,6,13218737,2012-09-23T11:32:08Z
8882373,MassGIS Import,15750,1,101798,2007-10-11T17:57:31Z
8882375,user_599436,599436,6,35174522,2015-11-08T17:49:35Z
8882382,MassGIS Import,15750,1,101798,2007-10-11T17:57:35Z
8882392,MassGIS Import,15750,1,101798,2007-10-11T17:57:37Z
8882395,OceanVortex,354704,2,18721713,2013-11-04T23:42:34Z
8882396,user_599436,599436,3,35174522,2015-11-08T17:49:07Z
8882401,MassGIS Import,15750,1,101798,2007-10-11T17:57:41Z
8882403,MassGIS Import,15750,1,101798,2007-10-11T17:57:42Z
8882405,MassGIS Import,15750,1,101798,2007-10-11T17:57:43Z
8882409,MassGIS Import,15750,1,101798,2007-10-11T17:57:44Z
8882410,MassGIS Import,15750,1,101798,2007-10-11T17:57:44Z
8882411,MassGIS Import,15750,1,101798,2007-10-11T17:57:45Z
8882412,MassGIS Import,15750,1,101798,2007-10-11T17:57:45Z
8882424,MassGIS Import,15750,1,101798,2007-10-11T17:57:49Z
8882431,MassGIS Import,15750,1,101798,2007-10-11T17:57:51Z
8882442,MassGIS Import,15750,1,101798,2007-10-11T17:57:56Z
8882444,RacerChick,2119035,9,31904934,2015-06-11T19:19:57Z
8882445,MassGIS Import,15750,1,101798,2007-10-11T17:57:57Z
8882448,MassGIS Import,15750,1,101798,2007-10-11T17:57:59Z
8882450,MassGIS Import,15750,1,101798,2007-10-11T17:57:59Z
8882453,MassGIS Import,15750,1,101798,2007-10-11T17:58:01Z
8882458,hofoen,52797,6,38783072,2016-04-22T11:38:52Z
8882459,MassGIS Import,15750,1,101798,2007-10-11T17:58:03Z
8882468,MassGIS Import,15750,1,101798,2007-10-11T17:58:07Z
8882478,user_599436,599436,6,35174522,2015-11-08T17:49:33Z
8882483,MassGIS Import,15750,1,101798,2007-10-11T17:58:12Z
8882487,MassGIS Import,15750,1,101798,2007-10-11T17:58:13Z
8882494,user_599436,599436,2,35174522,2015-11-08T17:49:04Z
8882499,MassGIS Import,15750,1,101798,2007-10-11T17:58:17Z
8882505,MassGIS Import,15750,1,101798,2007-10-11T17:58:19Z
8882518,MassGIS Import,15750,1,101798,2007-10-11T17:58:23Z
8882521,OceanVortex,354704,2,18721713,2013-11-04T23:42:32Z
8882531,MassGIS Import,15750,1,101798,2007-10-11T17:58:28Z
8882532,calfarome,2511706,4,40863175,2016-07-19T15:20:01Z
8882533,MassGIS Import,15750,1,101798,2007-10-11T17:58:29Z
8882544,MassGIS Import,15750,1,101798,2007-10-11T17:58:32Z
8882545,MassGIS Import,15750,1,101798,2007-10-11T17:58:32Z
8882546,MassGIS Import,15750,1,101798,2007-10-11T17:58:33Z
8882565,OceanVortex,354704,7,19325415,2013-12-07T16:26:35Z
8882575,MassGIS Import,15750,1,101798,2007-10-11T17:58:42Z
8882579,MassGIS Import,15750,1,101798,2007-10-11T17:58:43Z
8882584,MassGIS Import,15750,1,101798,2007-10-11T17:58:45Z
8882586,MassGIS Import,15750,1,101798,2007-10-11T17:58:45Z
8882594,user_599436,599436,6,35173447,2015-11-08T17:12:51Z
8882595,user_599436,599436,4,35174522,2015-11-08T17:53:00Z
8882604,MassGIS Import,15750,1,101798,2007-10-11T17:58:50Z
8882609,MassGIS Import,15750,1,101798,2007-10-11T17:58:51Z
8882616,MassGIS Import,15750,1,101798,2007-10-11T17:58:54Z
8882619,OceanVortex,354704,2,19313375,2013-12-06T21:38:14Z
8882622,MassGIS Import,15750,1,101798,2007-10-11T17:58:56Z
8882623,MassGIS Import,15750,1,101798,2007-10-11T17:58:56Z
8882626,MassGIS Import,15750,1,101798,2007-10-11T17:58:57Z
8882649,NE2,207745,6,13218737,2012-09-23T11:32:25Z
8882654,MassGIS Import,15750,1,101798,2007-10-11T17:59:03Z
8882661,MassGIS Import,15750,1,101798,2007-10-11T17:59:04Z
8882664,MassGIS Import,15750,1,101798,2007-10-11T17:59:05Z
8882666,MassGIS Import,15750,1,101798,2007-10-11T17:59:06Z
8882669,MassGIS Import,15750,1,101798,2007-10-11T17:59:07Z
8882670,MassGIS Import,15750,1,101798,2007-10-11T17:59:07Z
8882674,MassGIS Import,15750,1,101798,2007-10-11T17:59:09Z
8882679,MassGIS Import,15750,1,101798,2007-10-11T17:59:11Z
8882681,MassGIS Import,15750,1,101798,2007-10-11T17:59:12Z
8882683,MassGIS Import,15750,1,101798,2007-10-11T17:59:13Z
8882688,NE2,207745,2,9896563,2011-11-21T15:04:02Z
8882694,LBenoit,2418192,2,26259117,2014-10-22T16:19:59Z
8882697,MassGIS Import,15750,1,101798,2007-10-11T17:59:20Z
8882701,OceanVortex,354704,2,18721713,2013-11-04T23:42:34Z
8882702,Tomash Pilshchik,24403,2,118280,2008-02-14T04:05:37Z
8882703,NE2,207745,2,8812374,2011-07-24T08:09:18Z
8882705,MassGIS Import,15750,1,101798,2007-10-11T17:59:24Z
8882709,MassGIS Import,15750,1,101798,2007-10-11T17:59:26Z
8882710,MassGIS Import,15750,1,101798,2007-10-11T17:59:26Z
8882714,MassGIS Import,15750,1,101798,2007-10-11T17:59:29Z
8882717,MassGIS Import,15750,1,101798,2007-10-11T17:59:30Z
8882720,MassGIS Import,15750,1,101798,2007-10-11T17:59:31Z
8882721,user_599436,599436,4,35174522,2015-11-08T17:49:08Z
8882724,MassGIS Import,15750,1,101798,2007-10-11T17:59:33Z
8882726,MassGIS Import,15750,1,101798,2007-10-11T17:59:34Z
8882727,OceanVortex,354704,2,18720483,2013-11-04T21:42:42Z
8882729,MassGIS Import,15750,1,101798,2007-10-11T17:59:36Z
8882731,LBenoit,2418192,2,26258252,2014-10-22T15:35:45Z
8882733,RacerChick,2119035,3,31904934,2015-06-11T19:20:13Z
8882735,MassGIS Import,15750,1,101798,2007-10-11T17:59:38Z
8882737,MassGIS Import,15750,1,101798,2007-10-11T17:59:39Z
8882739,MassGIS Import,15750,1,101798,2007-10-11T17:59:40Z
8882743,MassGIS Import,15750,1,101798,2007-10-11T17:59:42Z
8882744,MassGIS Import,15750,1,101798,2007-10-11T17:59:43Z
8882745,MassGIS Import,15750,1,101798,2007-10-11T17:59:43Z
8882748,MassGIS Import,15750,1,101798,2007-10-11T17:59:44Z
8882750,MassGIS Import,15750,1,101798,2007-10-11T17:59:45Z
8882754,Maskulinum,618377,2,22742017,2014-06-04T19:51:49Z
8882756,MassGIS Import,15750,1,101798,2007-10-11T17:59:48Z
8882762,MassGIS Import,15750,1,101798,2007-10-11T17:59:51Z
8882763,MassGIS Import,15750,1,101798,2007-10-11T17:59:51Z
8882769,Maskulinum,618377,2,22742017,2014-06-04T19:51:49Z
8882770,RacerChick,2119035,6,31904934,2015-06-11T19:20:18Z
8882771,ChrisZontine,1376118,2,16371357,2013-05-31T21:39:10Z
8882772,MassGIS Import,15750,1,101798,2007-10-11T17:59:56Z
8882773,MassGIS Import,15750,1,101798,2007-10-11T17:59:57Z
8882783,MassGIS Import,15750,1,101798,2007-10-11T18:00:00Z
8882788,MassGIS Import,15750,1,101798,2007-10-11T18:00:01Z
8882790,MassGIS Import,15750,1,101798,2007-10-11T18:00:01Z
8882791,MassGIS Import,15750,1,101798,2007-10-11T18:00:02Z
8882795,MassGIS Import,15750,1,101798,2007-10-11T18:00:04Z
8882797,MassGIS Import,15750,1,101798,2007-10-11T18:00:04Z
8882808,MassGIS Import,15750,1,101798,2007-10-11T18:00:08Z
